"","TRACE","FILE","PROCESS","BYTES","COUNT"
"4"," <-/Core/CacheDB/sqlitecachedb.py:2396:_execute<-/Core/CacheDB/sqlitecachedb.py:2285:invoke_func<-/Core/CacheDB/sqlitecachedb.py:2332:commitNow<-/Core/CacheDB/sqlitecachedb.py:2247:invoke_func<-/dispersy/database.py:369:commit<-/dispersy/dispersy.py:4490:_watchdog<-/dispersy/callback.py:540:_loop<-/lib/python2.7/threading.py:501:run<-/lib/python2.7/threading.py:533:__bootstrap_inner<-/lib/python2.7/threading.py:510:__bootstrap","other"," python",72550272,9
"25"," <-/Core/CacheDB/sqlitecachedb.py:2437:_executemany<-/Core/CacheDB/sqlitecachedb.py:2285:invoke_func<-/Core/CacheDB/sqlitecachedb.py:2371:executemany<-/Core/CacheDB/SqliteCacheDBHandler.py:862:on_torrent_collect_response<-/community/search/community.py:472:on_torrent_collect_response<-/community/search/community.py:460:on_torrent_collect_request<-/dispersy/dispersy.py:2804:store_update_forward<-/dispersy/dispersy.py:1942:on_message_batch<-/dispersy/dispersy.py:1909:_on_batch_cache<-/dispersy/dispersy.py:1801:on_incoming_packets<-/dispersy/endpoint.py:125:dispersythread_data_came_in<-/dispersy/callback.py:540:_loop<-/lib/python2.7/threading.py:501:run<-/lib/python2.7/threading.py:533:__bootstrap_inner<-/lib/python2.7/threading.py:510:__bootstrap","temp_table"," python",10581036,69
"28"," <-/Core/CacheDB/sqlitecachedb.py:2437:_executemany<-/Core/CacheDB/sqlitecachedb.py:2285:invoke_func<-/Core/CacheDB/sqlitecachedb.py:2371:executemany<-/Core/CacheDB/SqliteCacheDBHandler.py:862:on_torrent_collect_response<-/community/search/community.py:472:on_torrent_collect_response<-/dispersy/dispersy.py:2804:store_update_forward<-/dispersy/dispersy.py:1942:on_message_batch<-/dispersy/dispersy.py:1909:_on_batch_cache<-/dispersy/dispersy.py:1801:on_incoming_packets<-/dispersy/endpoint.py:125:dispersythread_data_came_in<-/dispersy/callback.py:540:_loop<-/lib/python2.7/threading.py:501:run<-/lib/python2.7/threading.py:533:__bootstrap_inner<-/lib/python2.7/threading.py:510:__bootstrap","temp_table"," python",9679476,72
"24"," <-/Core/CacheDB/sqlitecachedb.py:2437:_executemany<-/Core/CacheDB/sqlitecachedb.py:2285:invoke_func<-/Core/CacheDB/sqlitecachedb.py:2371:executemany<-/Core/CacheDB/SqliteCacheDBHandler.py:3673:__flush_to_database<-/dispersy/callback.py:540:_loop<-/lib/python2.7/threading.py:501:run<-/lib/python2.7/threading.py:533:__bootstrap_inner<-/lib/python2.7/threading.py:510:__bootstrap","temp_table"," python",6876444,23
"14"," <-/Core/CacheDB/sqlitecachedb.py:2396:_execute<-/Core/CacheDB/sqlitecachedb.py:2285:invoke_func<-/Core/CacheDB/sqlitecachedb.py:2364:execute_write<-/Core/CacheDB/sqlitecachedb.py:562:update<-/Core/CacheDB/SqliteCacheDBHandler.py:701:_addTorrentToDB<-/Core/CacheDB/SqliteCacheDBHandler.py:553:addExternalTorrentNoDef<-/Core/CacheDB/SqliteCacheDBHandler.py:2570:on_torrents_from_dispersy<-/community/channel/community.py:379:_disp_on_torrent<-/dispersy/dispersy.py:2804:store_update_forward<-/dispersy/dispersy.py:1942:on_message_batch<-/dispersy/dispersy.py:1909:_on_batch_cache<-/dispersy/dispersy.py:1877:_on_batch_cache_timeout<-/dispersy/callback.py:540:_loop<-/lib/python2.7/threading.py:501:run<-/lib/python2.7/threading.py:533:__bootstrap_inner<-/lib/python2.7/threading.py:510:__bootstrap","temp_table"," python",5606064,130
"65"," <-/dispersy/database.py:369:commit<-/dispersy/dispersy.py:4490:_watchdog<-/dispersy/callback.py:540:_loop<-/lib/python2.7/threading.py:501:run<-/lib/python2.7/threading.py:533:__bootstrap_inner<-/lib/python2.7/threading.py:510:__bootstrap","other"," python",4600960,9
"2"," <-/Core/CacheDB/sqlitecachedb.py:2396:_execute<-/Core/CacheDB/sqlitecachedb.py:2285:invoke_func<-/Core/CacheDB/sqlitecachedb.py:2332:commitNow<-/Core/CacheDB/sqlitecachedb.py:2247:invoke_func<-/dispersy/database.py:369:commit<-/dispersy/dispersy.py:2804:store_update_forward<-/community/search/community.py:578:_disp_create_torrent<-/community/search/community.py:565:create_torrent<-/community/search/community.py:620:_get_packets_from_infohashes<-/community/search/community.py:407:on_torrent_request<-/dispersy/dispersy.py:2804:store_update_forward<-/dispersy/dispersy.py:1942:on_message_batch<-/dispersy/dispersy.py:1909:_on_batch_cache<-/dispersy/dispersy.py:1801:on_incoming_packets<-/dispersy/endpoint.py:125:dispersythread_data_came_in<-/dispersy/callback.py:540:_loop<-/lib/python2.7/threading.py:501:run<-/lib/python2.7/threading.py:533:__bootstrap_inner<-/lib/python2.7/threading.py:510:__bootstrap","other"," python",3064568,2
"13"," <-/Core/CacheDB/sqlitecachedb.py:2396:_execute<-/Core/CacheDB/sqlitecachedb.py:2285:invoke_func<-/Core/CacheDB/sqlitecachedb.py:2364:execute_write<-/Core/CacheDB/sqlitecachedb.py:562:update<-/Core/CacheDB/SqliteCacheDBHandler.py:701:_addTorrentToDB<-/Core/CacheDB/SqliteCacheDBHandler.py:544:addExternalTorrent<-/Core/RemoteTorrentHandler.py:281:do_db<-/Main/Utility/GuiDBHandler.py:122:wrapper<-/dispersy/callback.py:540:_loop<-/lib/python2.7/threading.py:501:run<-/lib/python2.7/threading.py:533:__bootstrap_inner<-/lib/python2.7/threading.py:510:__bootstrap","temp_table"," python",2401428,78
"32"," <-/Core/TorrentDef.py:895:save<-/Core/RemoteTorrentHandler.py:266:_save_torrent<-/Core/RemoteTorrentHandler.py:257:do_schedule<-/Core/RemoteTorrentHandler.py:252:<lambda><-/Utilities/TimedTaskQueue.py:82:run<-/lib/python2.7/threading.py:501:run<-/lib/python2.7/threading.py:533:__bootstrap_inner<-/lib/python2.7/threading.py:510:__bootstrap","torrent"," python",2372429,78
"70"," <-/lib/python2.7/shutil.py:46:copyfileobj<-/lib/python2.7/shutil.py:66:copyfile<-/lib/python2.7/shutil.py:109:copy<-/Core/RemoteTorrentHandler.py:299:_write_to_collected<-/Core/RemoteTorrentHandler.py:266:_save_torrent<-/Core/RemoteTorrentHandler.py:257:do_schedule<-/Core/RemoteTorrentHandler.py:252:<lambda><-/Utilities/TimedTaskQueue.py:82:run<-/lib/python2.7/threading.py:501:run<-/lib/python2.7/threading.py:533:__bootstrap_inner<-/lib/python2.7/threading.py:510:__bootstrap","other"," python",2199552,74
"12"," <-/Core/CacheDB/sqlitecachedb.py:2396:_execute<-/Core/CacheDB/sqlitecachedb.py:2285:invoke_func<-/Core/CacheDB/sqlitecachedb.py:2364:execute_write<-/Core/CacheDB/sqlitecachedb.py:562:update<-/Core/CacheDB/SqliteCacheDBHandler.py:701:_addTorrentToDB<-/Core/CacheDB/SqliteCacheDBHandler.py:544:addExternalTorrent<-/Core/RemoteTorrentHandler.py:281:do_db<-/Main/Utility/GuiDBHandler.py:122:wrapper<-/dispersy/callback.py:540:_loop<-/lib/python2.7/threading.py:501:run<-/lib/python2.7/threading.py:533:__bootstrap_inner<-/lib/python2.7/threading.py:510:__bootstrap","other"," python",1917864,78
"19"," <-/Core/CacheDB/sqlitecachedb.py:2437:_executemany<-/Core/CacheDB/sqlitecachedb.py:2285:invoke_func<-/Core/CacheDB/sqlitecachedb.py:2371:executemany<-/Core/CacheDB/SqliteCacheDBHandler.py:2325:_updateChannelsVotes<-/Core/CacheDB/SqliteCacheDBHandler.py:2212:on_votes_from_dispersy<-/community/allchannel/community.py:418:on_votecast<-/dispersy/dispersy.py:2804:store_update_forward<-/dispersy/dispersy.py:1942:on_message_batch<-/dispersy/dispersy.py:1909:_on_batch_cache<-/dispersy/dispersy.py:1877:_on_batch_cache_timeout<-/dispersy/callback.py:540:_loop<-/lib/python2.7/threading.py:501:run<-/lib/python2.7/threading.py:533:__bootstrap_inner<-/lib/python2.7/threading.py:510:__bootstrap","temp_table"," python",1499868,48
"3"," <-/Core/CacheDB/sqlitecachedb.py:2396:_execute<-/Core/CacheDB/sqlitecachedb.py:2285:invoke_func<-/Core/CacheDB/sqlitecachedb.py:2332:commitNow<-/Core/CacheDB/sqlitecachedb.py:2247:invoke_func<-/dispersy/database.py:369:commit<-/dispersy/dispersy.py:2804:store_update_forward<-/dispersy/dispersy.py:3173:create_identity<-/dispersy/community.py:1321:create_dispersy_identity<-/dispersy/community.py:156:join_community<-/community/allchannel/community.py:461:_get_channel_community<-/community/allchannel/community.py:486:_get_channel_id<-/community/allchannel/community.py:495:_selectTorrentsToCollect<-/community/allchannel/community.py:221:on_channelcast<-/dispersy/dispersy.py:2804:store_update_forward<-/dispersy/dispersy.py:1942:on_message_batch<-/dispersy/dispersy.py:1909:_on_batch_cache<-/dispersy/dispersy.py:1801:on_incoming_packets<-/dispersy/endpoint.py:125:dispersythread_data_came_in<-/dispersy/callback.py:540:_loop<-/lib/python2.7/threading.py:501:run","other"," python",1380320,1
"63"," <-/dispersy/database.py:369:commit<-/dispersy/dispersy.py:2804:store_update_forward<-/community/search/community.py:578:_disp_create_torrent<-/community/search/community.py:565:create_torrent<-/community/search/community.py:620:_get_packets_from_infohashes<-/community/search/community.py:407:on_torrent_request<-/dispersy/dispersy.py:2804:store_update_forward<-/dispersy/dispersy.py:1942:on_message_batch<-/dispersy/dispersy.py:1909:_on_batch_cache<-/dispersy/dispersy.py:1801:on_incoming_packets<-/dispersy/endpoint.py:125:dispersythread_data_came_in<-/dispersy/callback.py:540:_loop<-/lib/python2.7/threading.py:501:run<-/lib/python2.7/threading.py:533:__bootstrap_inner<-/lib/python2.7/threading.py:510:__bootstrap","torrent"," python",1339208,28
"60"," <-/dispersy/database.py:258:execute<-/dispersy/member.py:109:__init__<-/dispersy/dispersy.py:685:get_member<-/dispersy/conversion.py:1156:_decode_member_authentication<-/dispersy/conversion.py:1317:_decode_message<-/dispersy/conversion.py:1398:decode_message<-/dispersy/dispersy.py:2101:_convert_batch_into_messages<-/dispersy/dispersy.py:1909:_on_batch_cache<-/dispersy/dispersy.py:1801:on_incoming_packets<-/dispersy/endpoint.py:125:dispersythread_data_came_in<-/dispersy/callback.py:540:_loop<-/lib/python2.7/threading.py:501:run<-/lib/python2.7/threading.py:533:__bootstrap_inner<-/lib/python2.7/threading.py:510:__bootstrap","temp_table"," python",1237596,46
"27"," <-/Core/CacheDB/sqlitecachedb.py:2437:_executemany<-/Core/CacheDB/sqlitecachedb.py:2285:invoke_func<-/Core/CacheDB/sqlitecachedb.py:2371:executemany<-/Core/CacheDB/SqliteCacheDBHandler.py:862:on_torrent_collect_response<-/community/search/community.py:472:on_torrent_collect_response<-/community/search/community.py:460:on_torrent_collect_request<-/dispersy/dispersy.py:2804:store_update_forward<-/dispersy/dispersy.py:1942:on_message_batch<-/dispersy/dispersy.py:1909:_on_batch_cache<-/dispersy/dispersy.py:1801:on_incoming_packets<-/dispersy/message.py:26:_process_delayed_packet<-/dispersy/dispersy.py:3212:on_identity<-/dispersy/dispersy.py:2804:store_update_forward<-/dispersy/dispersy.py:1942:on_message_batch<-/dispersy/dispersy.py:1909:_on_batch_cache<-/dispersy/dispersy.py:1801:on_incoming_packets<-/dispersy/endpoint.py:125:dispersythread_data_came_in<-/dispersy/callback.py:540:_loop<-/lib/python2.7/threading.py:501:run<-/lib/python2.7/threading.py:533:__bootstrap_inner","temp_table"," python",942540,4
"18"," <-/Core/CacheDB/sqlitecachedb.py:2396:_execute<-/Core/CacheDB/sqlitecachedb.py:2285:invoke_func<-/Core/CacheDB/sqlitecachedb.py:2364:execute_write<-/Core/CacheDB/sqlitecachedb.py:562:update<-/Core/CacheDB/SqliteCacheDBHandler.py:999:updateTracker<-/Core/CacheDB/SqliteCacheDBHandler.py:821:updateTorrent<-/TrackerChecking/TorrentChecking.py:353:dbUpdateTorrents<-/dispersy/callback.py:540:_loop<-/lib/python2.7/threading.py:501:run<-/lib/python2.7/threading.py:533:__bootstrap_inner<-/lib/python2.7/threading.py:510:__bootstrap","other"," python",811404,32
"21"," <-/Core/CacheDB/sqlitecachedb.py:2437:_executemany<-/Core/CacheDB/sqlitecachedb.py:2285:invoke_func<-/Core/CacheDB/sqlitecachedb.py:2371:executemany<-/Core/CacheDB/SqliteCacheDBHandler.py:2455:updateNrTorrents<-/dispersy/callback.py:540:_loop<-/lib/python2.7/threading.py:501:run<-/lib/python2.7/threading.py:533:__bootstrap_inner<-/lib/python2.7/threading.py:510:__bootstrap","temp_table"," python",409800,1
"64"," <-/dispersy/database.py:369:commit<-/dispersy/dispersy.py:2804:store_update_forward<-/dispersy/dispersy.py:3173:create_identity<-/dispersy/community.py:1321:create_dispersy_identity<-/dispersy/community.py:156:join_community<-/community/allchannel/community.py:461:_get_channel_community<-/community/allchannel/community.py:486:_get_channel_id<-/community/allchannel/community.py:495:_selectTorrentsToCollect<-/community/allchannel/community.py:221:on_channelcast<-/dispersy/dispersy.py:2804:store_update_forward<-/dispersy/dispersy.py:1942:on_message_batch<-/dispersy/dispersy.py:1909:_on_batch_cache<-/dispersy/dispersy.py:1801:on_incoming_packets<-/dispersy/endpoint.py:125:dispersythread_data_came_in<-/dispersy/callback.py:540:_loop<-/lib/python2.7/threading.py:501:run<-/lib/python2.7/threading.py:533:__bootstrap_inner<-/lib/python2.7/threading.py:510:__bootstrap","other"," python",295776,1
"62"," <-/dispersy/database.py:369:commit<-/dispersy/dispersy.py:2804:store_update_forward<-/community/search/community.py:578:_disp_create_torrent<-/community/search/community.py:565:create_torrent<-/community/search/community.py:620:_get_packets_from_infohashes<-/community/search/community.py:407:on_torrent_request<-/dispersy/dispersy.py:2804:store_update_forward<-/dispersy/dispersy.py:1942:on_message_batch<-/dispersy/dispersy.py:1909:_on_batch_cache<-/dispersy/dispersy.py:1801:on_incoming_packets<-/dispersy/endpoint.py:125:dispersythread_data_came_in<-/dispersy/callback.py:540:_loop<-/lib/python2.7/threading.py:501:run<-/lib/python2.7/threading.py:533:__bootstrap_inner<-/lib/python2.7/threading.py:510:__bootstrap","temp_table"," python",262912,28
"17"," <-/Core/CacheDB/sqlitecachedb.py:2396:_execute<-/Core/CacheDB/sqlitecachedb.py:2285:invoke_func<-/Core/CacheDB/sqlitecachedb.py:2364:execute_write<-/Core/CacheDB/sqlitecachedb.py:562:update<-/Core/CacheDB/SqliteCacheDBHandler.py:821:updateTorrent<-/TrackerChecking/TorrentChecking.py:353:dbUpdateTorrents<-/dispersy/callback.py:540:_loop<-/lib/python2.7/threading.py:501:run<-/lib/python2.7/threading.py:533:__bootstrap_inner<-/lib/python2.7/threading.py:510:__bootstrap","other"," python",262272,32
"26"," <-/Core/CacheDB/sqlitecachedb.py:2437:_executemany<-/Core/CacheDB/sqlitecachedb.py:2285:invoke_func<-/Core/CacheDB/sqlitecachedb.py:2371:executemany<-/Core/CacheDB/SqliteCacheDBHandler.py:862:on_torrent_collect_response<-/community/search/community.py:472:on_torrent_collect_response<-/community/search/community.py:460:on_torrent_collect_request<-/dispersy/dispersy.py:2804:store_update_forward<-/dispersy/dispersy.py:1942:on_message_batch<-/dispersy/dispersy.py:1909:_on_batch_cache<-/dispersy/dispersy.py:1801:on_incoming_packets<-/dispersy/endpoint.py:125:dispersythread_data_came_in<-/dispersy/callback.py:540:_loop<-/lib/python2.7/threading.py:501:run<-/lib/python2.7/threading.py:533:__bootstrap_inner<-/lib/python2.7/threading.py:510:__bootstrap","torrent"," python",245880,69
"10"," <-/Core/CacheDB/sqlitecachedb.py:2396:_execute<-/Core/CacheDB/sqlitecachedb.py:2285:invoke_func<-/Core/CacheDB/sqlitecachedb.py:2364:execute_write<-/Core/CacheDB/SqliteCacheDBHandler.py:2320:_updateChannelVotes<-/Core/CacheDB/SqliteCacheDBHandler.py:2235:on_remove_vote_from_dispersy<-/community/allchannel/community.py:452:undo_votecast<-/dispersy/dispersy.py:4032:on_undo<-/dispersy/dispersy.py:2804:store_update_forward<-/dispersy/dispersy.py:1942:on_message_batch<-/dispersy/dispersy.py:1932:on_messages<-/dispersy/message.py:123:_process_delayed_message<-/dispersy/dispersy.py:2326:handle_missing_messages<-/community/allchannel/community.py:418:on_votecast<-/dispersy/dispersy.py:2804:store_update_forward<-/dispersy/dispersy.py:1942:on_message_batch<-/dispersy/dispersy.py:1909:_on_batch_cache<-/dispersy/dispersy.py:1877:_on_batch_cache_timeout<-/dispersy/callback.py:540:_loop<-/lib/python2.7/threading.py:501:run<-/lib/python2.7/threading.py:533:__bootstrap_inner","temp_table"," python",213096,27
"16"," <-/Core/CacheDB/sqlitecachedb.py:2396:_execute<-/Core/CacheDB/sqlitecachedb.py:2285:invoke_func<-/Core/CacheDB/sqlitecachedb.py:2364:execute_write<-/Core/CacheDB/sqlitecachedb.py:562:update<-/Core/CacheDB/SqliteCacheDBHandler.py:821:updateTorrent<-/Core/RemoteTorrentHandler.py:236:_has_torrent<-/Main/Utility/GuiDBHandler.py:122:wrapper<-/dispersy/callback.py:540:_loop<-/lib/python2.7/threading.py:501:run<-/lib/python2.7/threading.py:533:__bootstrap_inner<-/lib/python2.7/threading.py:510:__bootstrap","other"," python",188508,11
"71"," <-/lib/python2.7/shutil.py:66:copyfile<-/lib/python2.7/shutil.py:109:copy<-/Core/RemoteTorrentHandler.py:299:_write_to_collected<-/Core/RemoteTorrentHandler.py:266:_save_torrent<-/Core/RemoteTorrentHandler.py:257:do_schedule<-/Core/RemoteTorrentHandler.py:252:<lambda><-/Utilities/TimedTaskQueue.py:82:run<-/lib/python2.7/threading.py:501:run<-/lib/python2.7/threading.py:533:__bootstrap_inner<-/lib/python2.7/threading.py:510:__bootstrap","torrent"," python",172877,78
"5"," <-/Core/CacheDB/sqlitecachedb.py:2396:_execute<-/Core/CacheDB/sqlitecachedb.py:2285:invoke_func<-/Core/CacheDB/sqlitecachedb.py:2364:execute_write<-/Core/CacheDB/SqliteCacheDBHandler.py:2320:_updateChannelVotes<-/Core/CacheDB/SqliteCacheDBHandler.py:2212:on_votes_from_dispersy<-/community/allchannel/community.py:418:on_votecast<-/dispersy/dispersy.py:2804:store_update_forward<-/dispersy/dispersy.py:1942:on_message_batch<-/dispersy/dispersy.py:1909:_on_batch_cache<-/dispersy/dispersy.py:1877:_on_batch_cache_timeout<-/dispersy/callback.py:540:_loop<-/lib/python2.7/threading.py:501:run<-/lib/python2.7/threading.py:533:__bootstrap_inner<-/lib/python2.7/threading.py:510:__bootstrap","temp_table"," python",122940,15
"15"," <-/Core/CacheDB/sqlitecachedb.py:2396:_execute<-/Core/CacheDB/sqlitecachedb.py:2285:invoke_func<-/Core/CacheDB/sqlitecachedb.py:2364:execute_write<-/Core/CacheDB/sqlitecachedb.py:562:update<-/Core/CacheDB/SqliteCacheDBHandler.py:701:_addTorrentToDB<-/Core/CacheDB/SqliteCacheDBHandler.py:553:addExternalTorrentNoDef<-/Core/CacheDB/SqliteCacheDBHandler.py:2570:on_torrents_from_dispersy<-/community/channel/community.py:379:_disp_on_torrent<-/dispersy/dispersy.py:2804:store_update_forward<-/dispersy/dispersy.py:1942:on_message_batch<-/dispersy/dispersy.py:1932:on_messages<-/dispersy/message.py:123:_process_delayed_message<-/dispersy/dispersy.py:2326:handle_missing_messages<-/dispersy/dispersy.py:4166:on_dynamic_settings<-/dispersy/community.py:1341:dispersy_on_dynamic_settings<-/community/channel/community.py:1082:dispersy_on_dynamic_settings<-/dispersy/dispersy.py:2804:store_update_forward<-/dispersy/dispersy.py:1942:on_message_batch<-/dispersy/dispersy.py:1909:_on_batch_cache<-/dispersy/dispersy.py:1801:on_incoming_packets","other"," python",122940,3
"29"," <-/Core/DecentralizedTracking/pymdht/core/state.py:33:save<-/Core/DecentralizedTracking/pymdht/core/controller.py:189:main_loop<-/Core/DecentralizedTracking/pymdht/core/minitwisted.py:136:run_one_step<-/Core/DecentralizedTracking/pymdht/core/minitwisted.py:97:run2<-/Core/DecentralizedTracking/pymdht/core/minitwisted.py:93:run<-/lib/python2.7/threading.py:533:__bootstrap_inner<-/lib/python2.7/threading.py:510:__bootstrap","other"," python",112393,9
"22"," <-/Core/CacheDB/sqlitecachedb.py:2437:_executemany<-/Core/CacheDB/sqlitecachedb.py:2285:invoke_func<-/Core/CacheDB/sqlitecachedb.py:2371:executemany<-/Core/CacheDB/SqliteCacheDBHandler.py:2570:on_torrents_from_dispersy<-/community/channel/community.py:379:_disp_on_torrent<-/dispersy/dispersy.py:2804:store_update_forward<-/dispersy/dispersy.py:1942:on_message_batch<-/dispersy/dispersy.py:1909:_on_batch_cache<-/dispersy/dispersy.py:1877:_on_batch_cache_timeout<-/dispersy/callback.py:540:_loop<-/lib/python2.7/threading.py:501:run<-/lib/python2.7/threading.py:533:__bootstrap_inner<-/lib/python2.7/threading.py:510:__bootstrap","temp_table"," python",106548,13
"61"," <-/dispersy/database.py:258:execute<-/dispersy/member.py:109:__init__<-/dispersy/dispersy.py:685:get_member<-/dispersy/conversion.py:1156:_decode_member_authentication<-/dispersy/conversion.py:1317:_decode_message<-/dispersy/conversion.py:1398:decode_message<-/dispersy/dispersy.py:2116:_convert_batch_into_messages<-/dispersy/dispersy.py:1909:_on_batch_cache<-/dispersy/dispersy.py:1801:on_incoming_packets<-/dispersy/endpoint.py:125:dispersythread_data_came_in<-/dispersy/callback.py:540:_loop<-/lib/python2.7/threading.py:501:run<-/lib/python2.7/threading.py:533:__bootstrap_inner<-/lib/python2.7/threading.py:510:__bootstrap","temp_table"," python",73764,2
